file_origin	stimulus	brain_region
2025_03_02_0000.abf	25	CA1
2025_03_02_0000.abf	25	CA1
2025_03_02_0000.abf	25	CA1
2025_03_02_0000.abf	50	CA1
2025_03_02_0000.abf	50	CA1
2025_03_02_0000.abf	50	CA1
2025_03_02_0000.abf	75	CA1
2025_03_02_0000.abf	75	CA1
2025_03_02_0000.abf	75	CA1
2025_03_02_0000.abf	100	CA1
2025_03_02_0000.abf	100	CA1
2025_03_02_0000.abf	100	CA1
2025_03_02_0000.abf	150	CA1
2025_03_02_0000.abf	150	CA1
2025_03_02_0000.abf	150	CA1
2025_03_02_0000.abf	200	CA1
2025_03_02_0000.abf	200	CA1
2025_03_02_0000.abf	200	CA1
2025_03_02_0000.abf	250	CA1
2025_03_02_0000.abf	250	CA1
2025_03_02_0000.abf	250	CA1
2025_03_02_0000.abf	300	CA1
2025_03_02_0000.abf	300	CA1
2025_03_02_0000.abf	300	CA1
2025_03_02_0000.abf	400	CA1
2025_03_02_0000.abf	400	CA1
2025_03_02_0000.abf	400	CA1
2025_03_02_0000.abf	500	CA1
2025_03_02_0000.abf	500	CA1
2025_03_02_0000.abf	500	CA1
2025_03_02_0000.abf	600	CA1
2025_03_02_0000.abf	600	CA1
2025_03_02_0000.abf	600	CA1
2025_03_02_0003.abf	25	DG
2025_03_02_0003.abf	25	DG
2025_03_02_0003.abf	25	DG
2025_03_02_0003.abf	50	DG
2025_03_02_0003.abf	50	DG
2025_03_02_0003.abf	50	DG
2025_03_02_0003.abf	75	DG
2025_03_02_0003.abf	75	DG
2025_03_02_0003.abf	75	DG
2025_03_02_0003.abf	100	DG
2025_03_02_0003.abf	100	DG
2025_03_02_0003.abf	100	DG
2025_03_02_0003.abf	150	DG
2025_03_02_0003.abf	150	DG
2025_03_02_0003.abf	150	DG
2025_03_02_0003.abf	200	DG
2025_03_02_0003.abf	200	DG
2025_03_02_0003.abf	200	DG
2025_03_02_0003.abf	250	DG
2025_03_02_0003.abf	250	DG
2025_03_02_0003.abf	250	DG
2025_03_02_0003.abf	300	DG
2025_03_02_0003.abf	300	DG
2025_03_02_0003.abf	300	DG
2025_03_02_0003.abf	400	DG
2025_03_02_0003.abf	400	DG
2025_03_02_0003.abf	400	DG
2025_03_02_0003.abf	500	DG
2025_03_02_0003.abf	500	DG
2025_03_02_0003.abf	500	DG
2025_03_02_0003.abf	600	DG
2025_03_02_0003.abf	600	DG
2025_03_02_0003.abf	600	DG
2025_03_02_0010.abf	25	DG
2025_03_02_0010.abf	25	DG
2025_03_02_0010.abf	25	DG
2025_03_02_0010.abf	50	DG
2025_03_02_0010.abf	50	DG
2025_03_02_0010.abf	50	DG
2025_03_02_0010.abf	75	DG
2025_03_02_0010.abf	75	DG
2025_03_02_0010.abf	75	DG
2025_03_02_0010.abf	100	DG
2025_03_02_0010.abf	100	DG
2025_03_02_0010.abf	100	DG
2025_03_02_0010.abf	150	DG
2025_03_02_0010.abf	150	DG
2025_03_02_0010.abf	150	DG
2025_03_02_0010.abf	200	DG
2025_03_02_0010.abf	200	DG
2025_03_02_0010.abf	200	DG
2025_03_02_0010.abf	250	DG
2025_03_02_0010.abf	250	DG
2025_03_02_0010.abf	250	DG
2025_03_02_0010.abf	300	DG
2025_03_02_0010.abf	300	DG
2025_03_02_0010.abf	300	DG
2025_03_02_0010.abf	400	DG
2025_03_02_0010.abf	400	DG
2025_03_02_0010.abf	400	DG
2025_03_02_0010.abf	500	DG
2025_03_02_0010.abf	500	DG
2025_03_02_0010.abf	500	DG
2025_03_02_0010.abf	600	DG
2025_03_02_0010.abf	600	DG
2025_03_02_0010.abf	600	DG
2025_03_03_0000.abf	25	CA1
2025_03_03_0000.abf	25	CA1
2025_03_03_0000.abf	25	CA1
2025_03_03_0000.abf	50	CA1
2025_03_03_0000.abf	50	CA1
2025_03_03_0000.abf	50	CA1
2025_03_03_0000.abf	75	CA1
2025_03_03_0000.abf	75	CA1
2025_03_03_0000.abf	75	CA1
2025_03_03_0000.abf	100	CA1
2025_03_03_0000.abf	100	CA1
2025_03_03_0000.abf	100	CA1
2025_03_03_0000.abf	150	CA1
2025_03_03_0000.abf	150	CA1
2025_03_03_0000.abf	150	CA1
2025_03_03_0000.abf	200	CA1
2025_03_03_0000.abf	200	CA1
2025_03_03_0000.abf	200	CA1
2025_03_03_0000.abf	250	CA1
